event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2020-03-03T11:00:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2020-03-06T08:30:00-05:00,United States,Balance of Trade,balance of trade,JAN,$-45.3B,$-48.6B,,,®,3,
2020-03-06T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,FEB,273K,273K,,,®,3,
2020-03-11T07:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,FEB,2.4%,2.3%,,,,3,
2020-03-11T07:30:00-04:00,United States,Inflation Rate YoY,inflation rate,FEB,2.3%,2.5%,,,,3,
2020-03-11T20:00:00-04:00,United States,President Trump Statement On Coronavirus,calendar,,,,,,,3,
2020-03-13T14:00:00-04:00,United States,President Trump Statement On Coronavirus,calendar,,,,,,,3,
2020-03-15T17:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2020-03-17T07:30:00-04:00,United States,Retail Sales MoM,retail sales mom,FEB,-0.5%,0.6%,,,®,3,
2020-03-25T07:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,FEB,1.2%,0.1%,,,®,3,
2020-03-27T07:30:00-04:00,United States,Personal Income MoM,personal income,FEB,0.6%,0.6%,,,,3,
2020-03-27T07:30:00-04:00,United States,Personal Spending MoM,personal spending,FEB,0.2%,0.2%,,,,3,
